Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights,Topic 29 words,Topic 29 weights
yaz,17619.0,river,18017.9,joan,1058.3,donna,0.1,beta,173.1,jane,2567.4,peter,571.4,jackie,4060.8,john,0.2,jack,0.2,martha,0.3,theta,3654.8,donna,15357.4,crowley,1958.8,john,14990.9,lisa,199.9,rory,9354.3,melody,2852.5,body,4622.1,harry,4175.8,master,7755.0,clara,14341.1,sherlock,1863.8,jack,28697.6,prince,902.4,martha,0.1,letter,1408.5,martha,13639.6,merlin,1099.1,detective,174.2
graham,7000.6,wife,2129.0,gallifrey,947.5,king,0.1,alpha,100.8,unit,1813.6,rocket,37.6,mickey,3243.2,martha,0.1,ianto,0.1,letter,0.3,koschei,1508.5,bill,998.9,aziraphale,615.2,night,3589.3,sharon,79.8,amy,3702.3,dad,1263.4,foot,2844.9,world,374.2,missy,2888.7,feel,1512.0,john,1729.5,ianto,9547.4,lady,655.2,donna,0.1,law,1132.3,jack,2141.1,arthur,611.7,john,124.3
ryan,5301.8,song,1321.9,lord,731.3,john,0.1,sex,94.1,phone,1328.2,york,34.4,jenny,3134.2,work,0.1,martha,0.1,marriage,0.2,tony,1218.1,mark,893.5,angel,489.5,work,2687.8,shareen,52.4,pond,985.4,daughter,1242.8,question,2697.2,thor,287.7,bill,1105.5,mouth,1205.4,sam,950.4,gwen,1797.6,tyler,537.4,mickey,0.1,marriage,914.7,master,1552.7,reader,223.2,box,25.2
yasmin,1935.3,husband,434.3,smith,660.5,martha,0.1,heat,86.9,sarah,1041.0,mother,34.2,wolf,2110.5,space,0.1,world,0.1,name,0.2,steve,675.9,yeah,756.0,demon,473.4,home,2592.8,eve,51.0,box,564.0,baby,1217.9,memory,2499.1,death,274.5,lord,687.8,glance,1129.3,henry,173.0,owen,1269.7,jack,536.1,everyone,0.1,series,713.8,watch,949.7,everyone,150.6,watson,19.1
feel,1088.0,sweetie,430.8,romana,563.4,jack,0.1,gender,49.1,ship,996.5,bank,32.3,tyler,1781.5,lord,0.1,lord,0.1,law,0.2,fury,459.5,wilf,640.6,hell,180.8,morning,2431.0,balloon,34.1,girl,404.6,child,1198.1,help,2471.8,chapter,262.0,point,514.8,river,1127.2,gun,117.6,torchwood,1035.0,reinette,512.5,work,0.1,rejection,685.8,tim,844.3,sky,137.0,tea,19.0
yeah,990.4,gun,359.0,dream,549.7,body,0.1,male,46.9,control,930.7,case,31.5,lord,1746.7,home,0.1,war,0.1,lot,0.2,agent,434.1,space,612.1,god,172.3,car,2308.8,museum,28.6,ship,389.6,family,945.0,ship,2424.0,everyone,256.4,planet,407.9,watch,1059.2,fact,117.2,harkness,823.7,john,484.5,home,0.1,anyone,429.3,family,756.7,boy,107.3,space,15.4
help,941.1,eyebrow,357.9,john,505.6,world,0.1,child,42.9,story,866.4,crime,30.2,world,1744.3,world,0.1,jane,0.1,series,0.2,stark,414.2,planet,561.0,world,154.2,yeah,2162.0,painting,27.9,husband,377.5,parent,839.3,mouth,2386.0,witch,249.9,plan,362.1,turn,1021.2,phone,115.3,tosh,810.4,soulmate,397.0,john,0.1,potter,390.0,everyone,623.9,professor,101.1,wall,12.1
lot,935.9,body,351.4,child,423.1,anyone,0.1,case,37.5,spock,840.6,show,27.0,memory,1361.0,ship,0.1,donna,0.1,anyone,0.2,bruce,353.7,world,533.0,point,150.0,week,2132.9,ticket,27.7,question,358.7,son,832.5,sort,2376.7,boy,246.4,step,343.9,stare,1011.3,watson,113.2,work,734.3,donna,384.3,step,0.1,lot,389.4,world,612.2,carol,100.3,crack,11.9
chapter,925.0,century,340.9,boy,341.7,name,0.1,society,33.1,earth,833.0,security,24.5,yeah,1334.3,name,0.1,idea,0.1,help,0.2,thor,352.6,kind,511.2,book,143.1,phone,1989.4,abomination,16.8,shook,339.4,mother,711.2,feel,2296.9,request,228.3,help,334.0,step,965.0,case,107.5,floor,677.4,king,384.2,jane,0.1,character,389.2,work,601.4,sword,97.2,telephone,10.6
body,883.1,companion,332.7,son,289.8,help,0.1,presentation,32.2,help,825.3,harriet,24.3,planet,1334.1,body,0.1,work,0.1,world,0.2,work,280.4,everyone,505.7,michael,138.9,talk,1887.2,circus,13.7,point,337.8,mum,644.4,planet,2246.6,wand,224.2,feel,328.0,book,821.0,hell,105.9,home,640.6,princess,356.3,sort,0.1,note,369.5,professor,529.1,hostess,94.0,control,8.4
foot,853.3,name,329.8,watch,250.2,work,0.1,partner,30.9,system,794.9,elevator,24.1,girl,1313.4,shook,0.1,child,0.1,body,0.1,anyone,256.9,home,499.3,plan,130.8,hour,1758.9,student,13.2,wife,329.9,girl,569.7,air,2245.0,magic,206.3,work,327.2,throat,781.7,brother,103.0,world,607.4,dress,266.7,point,0.1,ministry,369.1,story,515.9,name,87.9,sugar,7.7
question,838.6,professor,323.4,rassilon,232.4,think,0.1,female,30.7,energy,792.4,point,21.8,ship,1278.1,question,0.1,planet,0.1,box,0.1,everyone,254.2,jenny,498.8,name,114.2,love,1609.1,gallery,12.4,yeah,328.6,house,559.7,lord,2233.0,spell,202.6,floor,320.0,missy,718.4,street,75.5,captain,582.6,palace,260.9,yeah,0.1,claim,359.0,yeah,497.6,magic,77.7,kitchen,7.0
floor,833.5,ship,322.5,mother,228.6,ship,0.1,chapter,29.0,alien,733.4,canvas,21.8,home,1221.9,rory,0.1,step,0.1,yeah,0.1,guy,249.2,name,487.2,idea,113.5,book,1579.7,adventure,11.8,name,327.6,father,508.8,world,2229.3,book,195.4,space,319.1,gaze,715.6,name,71.2,body,570.3,family,209.2,question,0.1,count,355.7,wolf,490.4,help,74.5,crash,7.0
doc,784.5,anyone,306.4,school,216.3,yeah,0.1,world,27.9,area,731.4,evidence,21.2,name,1128.9,yeah,0.1,lot,0.1,jane,0.1,book,232.4,idea,476.1,earth,111.6,tell,1570.6,mirror,11.6,david,326.9,husband,499.2,hour,2211.8,potter,174.8,turn,317.2,grin,710.7,call,69.1,baby,558.2,horse,201.5,idea,0.1,company,350.2,name,488.4,brother,71.5,name,6.8
step,777.5,story,296.4,expression,201.0,home,0.1,couple,25.8,sharon,728.6,wait,21.1,tell,1054.6,jack,0.1,body,0.1,john,0.1,lot,225.6,family,454.6,question,109.3,school,1554.1,courtyard,10.6,lot,316.4,boy,462.7,floor,2183.4,wizard,173.1,war,311.4,foot,708.9,guy,66.8,team,534.9,love,192.1,name,0.1,send,337.6,month,474.2,world,69.3,magic,6.2
